,age,comment,likes/views,link,hashtags
15,MARCH 23,"winstonthewhitecorgi
Smol pupper. Big dreams. Happy #nationalpuppyday! Click #beforewinstonthewhite for more pupper nuggets","11,119 likes",https://www.instagram.com/p/BvW-uPAnL_u/,"['#nationalpuppyday', '#beforewinstonthewhite']"
16,MARCH 16,"winstonthewhitecorgi
Dawdle no more! This is the way to live. @petroverusa #petstroller","36,212 views",https://www.instagram.com/p/BvFHgqbhkpF/,['#petstroller']
17,MARCH 12,"winstonthewhitecorgi
Diagnosis: Perfectly normal. #stankeyeseries","81,794 views",https://www.instagram.com/p/Bu7XOM4Aa3Y/,['#stankeyeseries']
18,MARCH 8,"winstonthewhitecorgi
The goodest loaf #winstonsroadtofetch","51,962 views",https://www.instagram.com/p/BuxOfkmHMwm/,['#winstonsroadtofetch']
19,MARCH 7,"winstonthewhitecorgi
Today’s sweet reunion. Nuff said.

I’m doing very, very well! I slept the entire car ride back, and am now resting comfortably at home. It’s so good to be home.

I want to thank the incredible staff at @vetsportsmedicine for taking such good care of me. I’ll be back to capture your hearts all over again! #winstonsroadtofetch","19,844 likes",https://www.instagram.com/p/BuusSZxHUoV/,['#winstonsroadtofetch']
20,MARCH 6,"winstonthewhitecorgi
This just in: Surgery went very well! Dr. Leasure went in and found that the cranial cruciate ligament (CCL) was completely torn 😱 and there was some damage to my meniscus. I’m awake now and easily the best looking lad in tonight’s recovery ward. Planning to get discharged tomorrow and head back home to NYC.

I know you all have been anxiously waiting to learn how surgery went. Thank you SO, so much for all your thoughts, well wishes, beautiful words, prayers, love, everything. Couldn’t have done this without you. #winstonsroadtofetch","17,448 likes",https://www.instagram.com/p/Bur-7I5H4Te/,['#winstonsroadtofetch']
21,MARCH 5,"winstonthewhitecorgi
I looked deep into Dr. Leasure’s eyes, and knew I’d be in good hands (a treat or three certainly helped). Tomorrow I’ll be having TPLO surgery on my right hind leg (what was injured Christmas Eve). Unfortunately, my left leg also has some chronicity and prone to irreparable damage, so I’ll most likely need the same procedure on my left in the near future. But we’ll take one 🍗 at a time!

Many of you have been so caring and kind, asking how I’ve been doing. Thanks for helping us stay strong and being a part of this journey with us. Will keep you posted! #winstonsroadtofetch","18,301 likes",https://www.instagram.com/p/BupiO_VHpYN/,['#winstonsroadtofetch']
22,MARCH 2,"winstonthewhitecorgi
🔈Mood","22,050 views",https://www.instagram.com/p/Buhb_Wvn3er/,[]
23,FEBRUARY 24,"winstonthewhitecorgi
Dramatic conclusion of the tale about the bravest boy in all the lands","47,462 views",https://www.instagram.com/p/BuRsA3dnLcL/,[]
24,FEBRUARY 22,"winstonthewhitecorgi
EVERYONE STAY CALM. Part I of my epic battle with @theoriginalcomfy.","64,619 views",https://www.instagram.com/p/BuNG1-inewT/,[]
